CT [yrs],Final HLW [kg],Final Depleted U [kg],Total uranium ore [kg],Total idle capacity [MW],Last date idle capacity [yr],Duration of transition [yrs]
0,13223828.087529901,798818620.368972,143700000000,135.083333333333,962,2
2,13073261.2084176,798818620.368972,143700000000,135.083333333333,962,2
4,12906058.3398694,798818620.368972,143700000000,135.083333333333,962,2
6,12795682.491179598,798818620.368972,143700000000,135.083333333333,962,2
8,12726528.5549889,798818620.368972,143700000000,135.083333333333,962,2
