CT [yrs],Max Pu in all CP [kg],Pu Quality in all CP at Max Pu,Max Pu in HLW [kg],Pu Quality in HLW at Max Pu,Max Pu in all RPR [kg],Pu Quality in all RPR at Max Pu
0,-75.39175440152411,8.985512019776497,1.8278228418410956,0.0833329069593019,6.198250579674539,1.4476386079439152
2,0.0,0.0,0.0,0.0,0.0,0.0
4,85.09462461414529,-3.3424511339993024,-1.7987554179473402,-0.1156884815274734,-6.701278029751821,-1.0568892313531641
6,178.5031357333568,-5.547091027930596,-2.2518620764043917,-0.153036747991016,-13.130478975299232,-2.108881052425623
8,268.5180800105886,-7.229719523082675,-1.767360836185245,-0.22302869412190804,-19.92089013058417,-2.9997897799979962
