FS [%],Final HLW [kg],Final Depleted U [kg],Total uranium ore [kg],Total idle capacity [MW],Last date idle capacity [yr],Duration of transition [yrs]
0,13153061.59920826,798818620.3689718,143700000000.0,135.08333333333334,962,2
5,13056988.687765302,798818620.3689718,143700000000.0,135.08333333333334,962,2
10,13051896.326862385,798818620.3689718,143700000000.0,135.08333333333334,962,2
15,12959554.07309302,798818620.3689718,143700000000.0,135.08333333333334,962,2
20,13002120.864777049,798818620.3689718,143700000000.0,135.08333333333334,962,2
