FS [%],Max Pu in all CP [kg],Pu Quality in all CP at Max Pu,Max Pu in HLW [kg],Pu Quality in HLW at Max Pu,Max Pu in all RPR [kg],Pu Quality in all RPR at Max Pu
0,256794.0273,0.656144366,45816.018560000004,0.616189596,2357604.009,0.5481649820000001
5,273733.1322,0.6188384929999999,44338.72473,0.617841663,2461421.306,0.512185216
10,279694.7846,0.6058651999999999,44055.53671,0.618561266,2513133.758,0.496723966
15,285794.8482,0.593123168,42905.59368,0.619136437,2552142.815,0.48062452200000005
20,291786.5398,0.581150365,43133.60862,0.61991621,2605589.017,0.466663345
